label,x,y
书院市场（陈飞）（散户）,118.885628,28.97556429
曹路市场1号,121.674078,31.2850592
上海肯德基有限公司动力南广场餐厅,121.4468996,31.1994623
大润发泥城店,121.8266051,30.91557759
兴南路尚优玛特加盟（预付）,121.6705979,31.30167187
优友（上海）商贸有限公司,121.4878995,31.24916171
中光中学--老师,114.2219082,22.82686924
上海众品润兴实业有限公司,121.4878995,31.24916171
21家乐福万里店,121.4174174,31.27423552
康桥大润发,121.5862446,31.14097906
义乌市双竹食品商行,120.0672956,29.30644391
虎林路1号,126.6822827,45.7763904
义乌市华伦食品有限公司,120.0672956,29.30644391
上海龙景轩餐饮管理有限公司,120.1902601,30.33775103
上海市江扬农产品批发市场,121.4878995,31.24916171
蓝蛙-南京水游城店（秦淮区）,118.7928814,32.02974964
江佳,113.7631199,23.09821778
上海三添食品有限公司,121.5080713,31.21621168
(迪士尼店）上海港品悦餐饮管理有限公司缤谷店,121.4790143,31.24884643
怡乐食上海罗氏,121.4878995,31.24916171
世纪联华青浦专卖,121.1193643,31.16577421
浙江中拉物流有限公司,119.9572024,29.15949412
真南市场（武威路）,121.3596772,31.29488956
上海市闵行区魏平熟食店,121.4250243,31.09353754
上海珺皓投资管理有限公司,121.4878995,31.24916171
兴化市世昌精制米厂,119.9964181,32.96195431
祖名豆制品专卖,120.1756022,30.23971691
上海忠琛食品有限公司,121.3190805,31.10670152
上海肯德基有限公司名都餐厅,121.3933128,31.11254566
上海闵行区惠华副食品经营部,121.4250243,31.09353754
小伟粮油批发部,112.52328,33.00240288
上海永福海鲜食品有限公司闵行分公司,121.4250243,31.09353754
青岛佰恩利国际贸易有限公司,120.3844282,36.1052149
上海市农业发展促进中心,121.438925,30.97030899
清美豆业,121.5209885,31.27590199
广州市展卉贸易有限公司,113.4103692,23.12773596
上海祖香食品有限公司,121.2002669,31.12877865
浦东金桥店（城市超市）,121.6012621,31.245122
北新泾市场（加盟）(朱士银),121.3784942,31.22260899
上海必胜客有限公司芳甸路店,121.5685557,31.21530451
上海信韩餐饮管理有限公司第六分公司,121.4878995,31.24916171
上海阳普菜市场经营管理有限公司河间路分公司,121.5485942,31.27658408
家得利龙南,114.7318249,24.7727062
安庆怡达深度供应链管理有限公司,117.0587388,30.53789782
深圳祥裕隆贸易发展有限公司,113.9276263,22.50655236
特易购大渡河,115.6662205,32.17399187
上海臻谷商贸有限公司,121.4878995,31.24916171
世纪联华,121.5935037,29.88565641
吴江市贡溪酿酒有限公司,120.6394018,31.01484659
长岭路香蕉房,120.1362519,30.31784785
奉贤电厂-交大后勤,121.5606417,30.91512245
华联吉买盛曹杨店15,121.4119794,31.24506815
戬浜菜场,121.302326,31.38273645
金山区亭林镇南亭公路6865号S11号,121.3229617,30.88401538
07.新旺港,121.0279978,31.11609612
平顺市场228号,113.2263287,23.03381008
上海望叶阁餐饮管理有限公司,121.4878995,31.24916171
上海新发展亚太万豪酒店,121.4031083,31.22760629
联华黄渡,117.588382,37.64821334
上海梅川农贸市场经营管理有限公司,121.4010229,31.24515002
上海蘑菇宝贝百货有限公司,121.2423514,31.38281157
广州快行线,113.3076497,23.1200491
浙中（华联）,119.1938,34.60444387
大润发杨浦店,121.5281405,31.29474002
新场市场86号,103.4351204,30.53755287
上海宏康医院有限公司,121.4045092,31.26190604
聚丰园路店,121.3861588,31.32025444
吴金发电（第二）(H),112.7148279,39.16122613
鹤旋路幼儿园鹤旋部,121.3155086,31.24512027
保德专柜40(易初莲花),111.1428348,38.88713525
大连旅顺鑫顺海海产品有限公司,121.5934778,38.94870994
上海市金山卫镇人民政府食堂,121.3241931,30.73098253
上海陌生人餐饮管理有限公司,121.330477,31.23081046
上海瑞凯伊德食品有限公司,121.2194233,30.79517029
上海市松江区洞泾镇桂明熟食店,121.2756047,31.0873463
上海北连生物科技有限公司,121.5570263,30.85743407
联华百秀路（加盟超市）,106.6540282,30.49022072
射阳县绿世纪食品有限公司,120.1424978,33.85495485
世界路（专卖加盟）,121.5326205,31.32733632
靖江三阳食品有限公司,120.2666371,32.09003149
兴泰50号,113.9879106,22.39905632
松江洞泾335(农工商),121.2364083,31.09032741
海燕食品,114.7336414,40.76397419
世纪联华体育场专卖,121.5935037,29.88565641
上海必胜客有限公司龙盛餐厅,113.2413552,35.22613685
上海杨升农副产品合作社三,121.4878995,31.24916171
青海牵手商贸有限公司,96.20254367,35.499761
上海第一食品连锁发展有限公司中环店,121.4543333,31.30493222
大成万达（天津）有限公司,117.2108131,39.1439299
厦门市乐味商贸有限公司,118.103886,24.48923061
上海碧纯饮用水有限公司,121.4468557,31.23713907
青昆路水站,121.120076,31.11945829
潘群香(世纪联华月浦店）,121.4347446,31.40952368
上海宝隆宾馆有限公司,113.5351465,22.24738914
泰兴市一鸣生物制品有限公司,120.0164071,32.25369661
苏州尼盛万丽酒店,120.6710355,31.31977615
恒业2店143(伍缘折扣超市),121.4202035,31.0264623
上海起帆食品有限公司,121.4026715,31.62731937
宝钢堆场,118.6360876,31.90423171
上海爱皇贸易有限公司,121.4878995,31.24916171
